date,channel,impressions,clicks,cost,conversions,cv_type,revenue
2024-01-01,Google Ads,6383,298,9090,14,お気に入り,81149
2024-01-01,Meta Ads,2590,37,5441,2,お気に入り,15072
2024-01-01,LINE Ads,2458,127,5967,3,購入,11501
2024-01-01,Yahoo!広告,1168,50,2873,3,会員登録,20162
2024-01-02,Google Ads,8102,313,10625,8,購入,33940
2024-01-02,Meta Ads,7842,194,9218,8,購入,58528
2024-01-02,LINE Ads,7144,408,5767,27,購入,194368
2024-01-02,Yahoo!広告,2092,113,3954,4,購入,30062
2024-01-03,Google Ads,8365,289,11360,18,お気に入り,69689
2024-01-03,Meta Ads,2953,172,6235,10,会員登録,49869
2024-01-03,LINE Ads,2285,80,3567,4,購入,28875
2024-01-03,Yahoo!広告,2848,129,3747,8,購入,35442
2024-01-04,Google Ads,6080,297,11020,16,会員登録,71531
2024-01-04,Meta Ads,6978,69,6761,3,購入,12229
2024-01-04,LINE Ads,2360,25,3608,0,購入,0
2024-01-04,Yahoo!広告,2171,41,3425,2,購入,13872
2024-01-05,Google Ads,5069,302,7638,6,購入,19080
2024-01-05,Meta Ads,3218,119,5503,4,会員登録,29904
2024-01-05,LINE Ads,1708,41,4066,1,購入,3850
2024-01-05,Yahoo!広告,3016,126,4049,6,購入,40981
2024-01-06,Google Ads,2948,81,7014,5,購入,32304
2024-01-06,Meta Ads,6765,354,9121,26,購入,197058
2024-01-06,LINE Ads,4672,254,4094,13,購入,60444
2024-01-06,Yahoo!広告,3410,165,3124,6,購入,42615
2024-01-07,Google Ads,7697,262,8846,5,購入,30559
2024-01-07,Meta Ads,11451,268,9320,16,お気に入り,116268
2024-01-07,LINE Ads,2143,57,4034,4,会員登録,18172
2024-01-07,Yahoo!広告,1812,103,4203,7,購入,53484
2024-01-08,Google Ads,5597,123,7346,3,購入,13357
2024-01-08,Meta Ads,7173,243,6277,14,購入,49873
2024-01-08,LINE Ads,2564,152,3449,10,購入,49112
2024-01-08,Yahoo!広告,1826,29,4413,1,会員登録,6054
2024-01-09,Google Ads,10771,285,9663,19,会員登録,94493
2024-01-09,Meta Ads,6888,342,8835,16,会員登録,75832
2024-01-09,LINE Ads,2405,54,5448,1,購入,4505
2024-01-09,Yahoo!広告,2696,135,4399,6,お気に入り,42197
2024-01-10,Google Ads,4720,151,6959,11,会員登録,85719
2024-01-10,Meta Ads,4006,145,8002,8,購入,57450
2024-01-10,LINE Ads,2801,99,3402,3,購入,14527
2024-01-10,Yahoo!広告,1614,67,3516,2,会員登録,14817
2024-01-11,Google Ads,5507,185,7773,10,購入,37784
2024-01-11,Meta Ads,3389,150,5108,4,購入,23622
2024-01-11,LINE Ads,4120,152,5428,10,購入,51436
2024-01-11,Yahoo!広告,1402,75,3034,3,購入,12205
2024-01-12,Google Ads,5297,108,10894,4,購入,18728
2024-01-12,Meta Ads,5408,317,8098,10,購入,67195
2024-01-12,LINE Ads,2562,87,4825,3,お気に入り,22171
2024-01-12,Yahoo!広告,3258,44,4045,3,購入,14528
2024-01-13,Google Ads,11685,698,11518,39,購入,184824
2024-01-13,Meta Ads,5886,167,8235,7,購入,36369
2024-01-13,LINE Ads,4735,238,4748,14,購入,107853
2024-01-13,Yahoo!広告,2923,138,4449,10,会員登録,59278
2024-01-14,Google Ads,4285,222,10343,8,購入,37466
2024-01-14,Meta Ads,5130,274,5303,11,購入,81269
2024-01-14,LINE Ads,1954,78,3932,5,購入,26797
2024-01-14,Yahoo!広告,2283,34,3900,2,購入,6394
2024-01-15,Google Ads,3151,130,6747,2,購入,6879
2024-01-15,Meta Ads,3685,208,7959,9,購入,29241
2024-01-15,LINE Ads,1787,35,3754,2,購入,11774
2024-01-15,Yahoo!広告,1647,74,3467,3,会員登録,11993
2024-01-16,Google Ads,8611,480,10697,20,会員登録,140237
2024-01-16,Meta Ads,2713,30,5453,1,お気に入り,4750
2024-01-16,LINE Ads,4367,73,3500,1,購入,4916
2024-01-16,Yahoo!広告,1989,102,3638,2,会員登録,9870
2024-01-17,Google Ads,8283,144,7709,4,お気に入り,14855
2024-01-17,Meta Ads,2667,126,5388,3,購入,15664
2024-01-17,LINE Ads,1984,35,4358,1,購入,3503
2024-01-17,Yahoo!広告,5055,103,4365,5,購入,22667
2024-01-18,Google Ads,8764,305,10951,21,お気に入り,135703
2024-01-18,Meta Ads,5096,251,8828,13,購入,82392
2024-01-18,LINE Ads,4917,263,4624,19,お気に入り,132250
2024-01-18,Yahoo!広告,1376,23,3005,1,購入,5414
2024-01-19,Google Ads,5016,293,7707,7,購入,31044
2024-01-19,Meta Ads,2508,103,5516,2,購入,11351
