customer_id,registration_date,customer_rank,age,gender,prefecture,customer_type
C000001,2022-06-03,プラチナ,23,女性,愛知県,法人
C000002,2023-02-05,ブロンズ,45,男性,東京都,個人
C000003,2022-12-13,ブロンズ,30,女性,埼玉県,個人事業主
C000004,2022-01-22,シルバー,26,女性,東京都,個人
C000005,2023-05-13,ブロンズ,32,男性,千葉県,個人
C000006,2023-05-14,ブロンズ,29,男性,大阪府,個人事業主
C000007,2022-12-11,ブロンズ,34,男性,大阪府,個人
C000008,2022-03-31,ブロンズ,40,男性,東京都,個人
C000009,2022-12-13,ブロンズ,19,女性,兵庫県,個人
C000010,2022-03-01,シルバー,21,男性,千葉県,個人
C000011,2023-09-01,ブロンズ,55,男性,愛知県,個人
C000012,2022-05-02,シルバー,28,女性,東京都,個人事業主
C000013,2023-06-15,ブロンズ,23,女性,神奈川県,個人事業主
C000014,2022-03-13,ブロンズ,53,男性,神奈川県,個人
C000015,2022-08-09,ブロンズ,49,男性,京都府,個人
C000016,2022-04-02,シルバー,57,男性,京都府,個人
C000017,2022-09-16,ブロンズ,48,女性,神奈川県,個人事業主
C000018,2023-04-14,シルバー,43,その他,愛知県,個人
C000019,2022-06-09,ブロンズ,18,男性,福岡県,個人
C000020,2023-11-26,ゴールド,26,男性,神奈川県,個人事業主
C000021,2023-06-08,ゴールド,41,男性,東京都,個人
C000022,2022-04-14,ブロンズ,25,女性,千葉県,個人
C000023,2023-04-23,ブロンズ,42,女性,大阪府,個人
C000024,2023-01-29,ブロンズ,52,女性,京都府,個人
C000025,2023-07-25,ブロンズ,31,男性,愛知県,個人
C000026,2022-08-16,シルバー,24,女性,東京都,個人事業主
C000027,2022-02-13,ブロンズ,39,男性,北海道,個人
C000028,2023-05-17,ブロンズ,25,女性,大阪府,個人
C000029,2023-03-31,シルバー,45,女性,東京都,個人
C000030,2022-10-06,ブロンズ,36,女性,東京都,個人
C000031,2022-08-08,ブロンズ,45,女性,福岡県,個人
C000032,2022-08-02,ブロンズ,58,その他,東京都,個人
C000033,2023-03-06,プラチナ,52,その他,愛知県,個人
C000034,2023-06-25,ブロンズ,49,女性,神奈川県,個人事業主
C000035,2023-08-27,ブロンズ,59,女性,兵庫県,個人
C000036,2023-02-13,シルバー,41,男性,北海道,個人
C000037,2022-03-10,ブロンズ,44,男性,兵庫県,個人
C000038,2023-09-20,シルバー,60,女性,埼玉県,個人
C000039,2022-09-12,ブロンズ,43,女性,京都府,個人
C000040,2022-11-20,ゴールド,24,女性,愛知県,個人
C000041,2023-02-15,ブロンズ,63,女性,神奈川県,個人
C000042,2022-09-18,プラチナ,51,男性,埼玉県,法人
C000043,2023-11-12,ブロンズ,39,女性,北海道,個人事業主
C000044,2023-03-03,ブロンズ,23,男性,福岡県,個人
C000045,2023-04-13,プラチナ,61,その他,埼玉県,法人
C000046,2023-06-20,ゴールド,49,女性,神奈川県,個人事業主
C000047,2022-03-17,プラチナ,59,男性,東京都,個人
C000048,2023-09-04,ブロンズ,45,女性,兵庫県,個人
C000049,2022-09-15,プラチナ,40,男性,福岡県,個人
C000050,2022-04-01,ブロンズ,18,男性,北海道,個人
C000051,2022-06-21,ゴールド,62,男性,埼玉県,法人
C000052,2022-01-28,シルバー,39,女性,神奈川県,個人
C000053,2023-10-18,シルバー,54,男性,福岡県,個人
C000054,2023-11-16,プラチナ,63,その他,福岡県,法人
C000055,2023-06-12,ゴールド,43,女性,埼玉県,法人
C000056,2022-04-30,ブロンズ,47,女性,兵庫県,個人
C000057,2022-07-29,ゴールド,53,男性,兵庫県,個人事業主
C000058,2022-03-14,シルバー,18,女性,愛知県,個人
C000059,2023-12-17,ブロンズ,19,男性,愛知県,個人
C000060,2022-03-09,シルバー,52,女性,東京都,個人
C000061,2022-02-10,ゴールド,29,男性,東京都,個人
C000062,2023-07-18,ゴールド,61,男性,大阪府,個人
C000063,2023-04-24,ブロンズ,52,男性,兵庫県,個人
C000064,2022-05-07,ゴールド,43,男性,神奈川県,個人
C000065,2022-04-25,シルバー,62,女性,千葉県,法人
C000066,2022-11-08,ブロンズ,53,男性,京都府,個人
C000067,2023-06-24,シルバー,52,男性,大阪府,法人
C000068,2023-09-28,ブロンズ,49,女性,東京都,個人
C000069,2022-02-06,シルバー,42,男性,東京都,個人
C000070,2023-11-01,ゴールド,42,男性,神奈川県,法人
C000071,2023-07-09,ブロンズ,58,女性,京都府,個人
C000072,2022-10-04,プラチナ,48,その他,神奈川県,個人
C000073,2022-08-14,シルバー,22,男性,京都府,個人
C000074,2022-09-20,シルバー,40,女性,埼玉県,個人
C000075,2023-09-15,ゴールド,56,その他,兵庫県,個人事業主
C000076,2023-08-22,シルバー,46,男性,大阪府,個人
C000077,2022-05-24,シルバー,61,女性,北海道,個人
C000078,2022-08-01,ブロンズ,57,男性,大阪府,個人
C000079,2022-04-08,ブロンズ,46,男性,神奈川県,個人
C000080,2022-03-25,シルバー,18,女性,東京都,法人
C000081,2022-08-09,ゴールド,62,女性,北海道,個人
C000082,2023-04-25,シルバー,61,女性,兵庫県,法人
C000083,2022-07-20,ブロンズ,20,男性,大阪府,個人事業主
C000084,2023-05-27,シルバー,37,男性,京都府,個人
C000085,2024-01-01,シルバー,45,その他,東京都,個人
C000086,2022-11-19,ゴールド,55,男性,兵庫県,個人
C000087,2022-06-25,プラチナ,62,男性,福岡県,個人事業主
C000088,2023-10-14,シルバー,28,女性,愛知県,個人
C000089,2023-05-20,シルバー,35,男性,東京都,個人
C000090,2022-07-25,ブロンズ,18,女性,北海道,個人
C000091,2023-04-18,ゴールド,28,男性,千葉県,個人
C000092,2023-01-09,シルバー,45,男性,兵庫県,法人
C000093,2023-01-19,ゴールド,25,男性,大阪府,法人
C000094,2022-07-11,ブロンズ,58,男性,北海道,個人
C000095,2023-08-10,ブロンズ,37,女性,神奈川県,個人
C000096,2023-04-24,ゴールド,22,女性,大阪府,個人
C000097,2023-12-23,ゴールド,62,男性,千葉県,個人事業主
C000098,2022-12-24,ゴールド,49,その他,福岡県,個人
C000099,2023-03-26,シルバー,39,女性,東京都,法人
C000100,2022-09-28,ゴールド,58,男性,東京都,法人
C000101,2022-11-23,ブロンズ,23,女性,福岡県,個人
C000102,2022-03-28,ゴールド,40,女性,福岡県,法人
C000103,2022-01-18,ゴールド,34,男性,京都府,個人
C000104,2024-01-01,プラチナ,30,男性,東京都,個人事業主
C000105,2022-09-01,シルバー,45,男性,埼玉県,個人
C000106,2023-08-01,ブロンズ,20,女性,東京都,個人
C000107,2023-11-09,プラチナ,47,女性,京都府,個人
C000108,2022-11-27,ブロンズ,64,男性,福岡県,個人
C000109,2022-06-03,ゴールド,56,男性,大阪府,個人
C000110,2023-03-02,シルバー,47,女性,神奈川県,個人
C000111,2022-10-12,プラチナ,55,女性,埼玉県,法人
C000112,2023-09-18,ゴールド,22,女性,兵庫県,個人
C000113,2023-07-02,ゴールド,34,男性,千葉県,法人
C000114,2023-10-25,プラチナ,19,男性,神奈川県,個人
C000115,2023-09-13,ブロンズ,33,男性,北海道,個人
C000116,2022-07-31,ブロンズ,21,男性,神奈川県,個人
C000117,2023-06-21,シルバー,49,男性,兵庫県,個人
C000118,2023-11-12,ブロンズ,22,男性,兵庫県,個人事業主
C000119,2022-07-17,ブロンズ,18,女性,兵庫県,個人
C000120,2023-11-17,ブロンズ,31,男性,京都府,個人事業主
C000121,2023-04-28,プラチナ,39,男性,東京都,法人
C000122,2023-12-07,ゴールド,25,女性,愛知県,個人
C000123,2022-01-13,シルバー,39,男性,埼玉県,個人
C000124,2023-10-16,ブロンズ,62,男性,千葉県,個人
C000125,2023-12-26,シルバー,40,女性,大阪府,法人
C000126,2022-08-14,ブロンズ,32,男性,埼玉県,個人
C000127,2022-09-04,ブロンズ,56,男性,埼玉県,個人
C000128,2023-10-08,ブロンズ,61,男性,愛知県,個人
C000129,2023-12-08,シルバー,20,女性,大阪府,個人
C000130,2023-09-13,シルバー,39,女性,千葉県,個人
C000131,2022-12-29,シルバー,59,男性,北海道,個人事業主
C000132,2022-02-09,シルバー,51,男性,北海道,個人
C000133,2022-12-21,ブロンズ,39,男性,北海道,個人
C000134,2022-08-17,ブロンズ,47,男性,千葉県,個人事業主
