order_id,order_date,customer_id,product_id,sku_id,quantity,unit_price,discount,total_amount,coupon_code,payment_method,status
ORD0000001,2024-01-01,C002106,P0007,SKU00083,2,6600,1980,11220,WINTER15,PayPay,完了
ORD0000002,2024-01-01,C002106,P0011,SKU00140,1,6400,0,6400,,クレジットカード,完了
ORD0000003,2024-01-01,C000141,P0005,SKU00053,1,13100,0,13100,,クレジットカード,完了
ORD0000004,2024-01-01,C002873,P0007,SKU00085,1,6600,0,6600,,クレジットカード,完了
ORD0000005,2024-01-01,C000693,P0002,SKU00019,2,12300,4920,19680,SUMMER20,クレジットカード,完了
ORD0000006,2024-01-01,C000693,P0010,SKU00125,3,3100,0,9300,,楽天ペイ,完了
ORD0000007,2024-01-01,C001755,P0005,SKU00054,1,13100,0,13100,,コンビニ払い,返品
ORD0000008,2024-01-01,C001755,P0003,SKU00036,1,4800,960,3840,SUMMER20,コンビニ払い,完了
ORD0000009,2024-01-01,C002181,P0006,SKU00080,1,8900,0,8900,,コンビニ払い,完了
ORD0000010,2024-01-01,C002181,P0013,SKU00143,1,12800,0,12800,,クレジットカード,完了
ORD0000011,2024-01-01,C002181,P0004,SKU00051,1,4800,0,4800,,代金引換,完了
ORD0000012,2024-01-01,C002302,P0008,SKU00100,1,14800,0,14800,,コンビニ払い,完了
ORD0000013,2024-01-01,C000863,P0011,SKU00133,1,6400,0,6400,,PayPay,完了
ORD0000014,2024-01-01,C000049,P0010,SKU00128,1,3100,310,2790,WELCOME10,PayPay,完了
ORD0000015,2024-01-01,C001497,P0006,SKU00076,1,8900,0,8900,,コンビニ払い,完了
ORD0000016,2024-01-01,C001175,P0011,SKU00136,1,6400,1600,4800,VIP25,楽天ペイ,完了
ORD0000017,2024-01-01,C001175,P0007,SKU00087,1,6600,0,6600,,楽天ペイ,完了
ORD0000018,2024-01-01,C002553,P0003,SKU00028,2,4800,0,9600,,クレジットカード,完了
ORD0000019,2024-01-01,C001262,P0010,SKU00124,2,3100,620,5580,WELCOME10,PayPay,完了
ORD0000020,2024-01-01,C000137,P0010,SKU00126,1,3100,0,3100,,PayPay,完了
ORD0000021,2024-01-01,C000137,P0009,SKU00112,1,2400,0,2400,,クレジットカード,完了
ORD0000022,2024-01-01,C001214,P0013,SKU00144,1,12800,3200,9600,VIP25,楽天ペイ,完了
ORD0000023,2024-01-01,C000581,P0010,SKU00123,1,3100,0,3100,,PayPay,完了
ORD0000024,2024-01-01,C000727,P0004,SKU00041,2,4800,0,9600,,楽天ペイ,完了
ORD0000025,2024-01-01,C000768,P0009,SKU00112,1,2400,0,2400,,楽天ペイ,返品
ORD0000026,2024-01-01,C000040,P0008,SKU00101,2,14800,0,29600,,PayPay,完了
ORD0000027,2024-01-01,C000040,P0003,SKU00030,1,4800,0,4800,,コンビニ払い,完了
ORD0000028,2024-01-01,C002342,P0016,SKU00153,1,5200,0,5200,,楽天ペイ,完了
ORD0000029,2024-01-02,C002020,P0011,SKU00134,1,6400,0,6400,,楽天ペイ,完了
ORD0000030,2024-01-02,C002020,P0011,SKU00138,1,6400,0,6400,,PayPay,完了
ORD0000031,2024-01-02,C002020,P0001,SKU00008,1,3700,0,3700,,クレジットカード,完了
ORD0000032,2024-01-02,C002549,P0008,SKU00097,1,14800,0,14800,,クレジットカード,完了
ORD0000033,2024-01-02,C002549,P0007,SKU00081,1,6600,0,6600,,クレジットカード,完了
ORD0000034,2024-01-02,C001422,P0004,SKU00052,1,4800,0,4800,,クレジットカード,キャンセル
ORD0000035,2024-01-02,C001422,P0004,SKU00049,1,4800,0,4800,,クレジットカード,完了
ORD0000036,2024-01-02,C001422,P0002,SKU00016,2,12300,6150,18450,VIP25,クレジットカード,完了
ORD0000037,2024-01-02,C001287,P0010,SKU00130,1,3100,0,3100,,クレジットカード,完了
ORD0000038,2024-01-02,C002713,P0001,SKU00004,1,3700,370,3330,WELCOME10,クレジットカード,完了
ORD0000039,2024-01-02,C000487,P0006,SKU00073,1,8900,890,8010,WELCOME10,コンビニ払い,完了
ORD0000040,2024-01-02,C000487,P0009,SKU00112,1,2400,0,2400,,クレジットカード,完了
ORD0000041,2024-01-02,C002905,P0002,SKU00019,1,12300,3075,9225,VIP25,楽天ペイ,完了
