date,session_id,customer_id,customer_type,is_logged_in,channel
2024-01-01,S0000000,,,False,自然検索
2024-01-01,S0000018,C002296,法人,True,自然検索
2024-01-01,S0000016,,,False,ダイレクト
2024-01-01,S0000015,C002656,個人,True,自然検索
2024-01-01,S0000014,C000849,個人,True,ダイレクト
2024-01-01,S0000013,C002288,個人,True,ダイレクト
2024-01-01,S0000012,C001595,個人事業主,True,リターゲ
2024-01-01,S0000011,C001448,個人,True,ディスプレイ広告
2024-01-01,S0000010,C000299,個人,True,ダイレクト
2024-01-01,S0000017,C000270,個人,True,検索広告
2024-01-01,S0000008,C001696,個人,True,検索広告
2024-01-01,S0000007,,,False,自然検索
2024-01-01,S0000006,C000484,個人,True,検索広告
2024-01-01,S0000005,C000100,法人,True,DM
2024-01-01,S0000004,C002099,個人,True,リターゲ
2024-01-01,S0000003,,,False,リターゲ
2024-01-01,S0000002,C002542,個人,True,ダイレクト
2024-01-01,S0000001,C002723,法人,True,自然検索
2024-01-01,S0000009,,,False,検索広告
2024-01-02,S0000039,C000291,法人,True,自然検索
2024-01-02,S0000040,C000069,個人,True,ダイレクト
2024-01-02,S0000041,C001192,個人,True,自然検索
2024-01-02,S0000043,C001064,法人,True,検索広告
2024-01-02,S0000044,C002623,法人,True,検索広告
2024-01-02,S0000045,C002249,個人,True,検索広告
2024-01-02,S0000046,C002129,法人,True,リターゲ
2024-01-02,S0000051,,,False,ダイレクト
2024-01-02,S0000048,C002250,個人,True,自然検索
2024-01-02,S0000049,C001836,個人,True,検索広告
2024-01-02,S0000050,,,False,自然検索
2024-01-02,S0000052,,,False,自然検索
2024-01-02,S0000053,C002489,個人,True,自然検索
2024-01-02,S0000054,C002038,法人,True,自然検索
2024-01-02,S0000038,,,False,検索広告
2024-01-02,S0000047,C000861,個人,True,自然検索
2024-01-02,S0000037,C001290,個人,True,DM
2024-01-02,S0000042,,,False,自然検索
2024-01-02,S0000035,C001505,法人,True,自然検索
2024-01-02,S0000036,C002695,個人,True,DM
2024-01-02,S0000019,,,False,検索広告
2024-01-02,S0000020,C001301,個人,True,ダイレクト
2024-01-02,S0000021,C000397,個人,True,自然検索
2024-01-02,S0000022,,,False,自然検索
2024-01-02,S0000023,C000715,個人,True,リターゲ
2024-01-02,S0000025,C000742,個人事業主,True,リターゲ
2024-01-02,S0000026,,,False,自然検索
2024-01-02,S0000024,,,False,ディスプレイ広告
2024-01-02,S0000028,,,False,自然検索
2024-01-02,S0000029,C001673,個人,True,検索広告
2024-01-02,S0000030,C002683,法人,True,DM
2024-01-02,S0000031,,,False,自然検索
2024-01-02,S0000032,C001500,個人事業主,True,リターゲ
2024-01-02,S0000033,,,False,検索広告
2024-01-02,S0000034,C001808,個人,True,DM
2024-01-02,S0000027,,,False,検索広告
2024-01-03,S0000065,C000168,個人,True,ダイレクト
2024-01-03,S0000071,C002305,個人,True,自然検索
2024-01-03,S0000070,C000915,法人,True,ダイレクト
2024-01-03,S0000069,C002138,個人,True,自然検索
2024-01-03,S0000068,C000573,個人事業主,True,ダイレクト
2024-01-03,S0000067,,,False,自然検索
2024-01-03,S0000066,C000676,個人事業主,True,ダイレクト
2024-01-03,S0000064,C002837,個人,True,検索広告
2024-01-03,S0000060,,,False,自然検索
2024-01-03,S0000062,C000087,個人事業主,True,ディスプレイ広告
2024-01-03,S0000061,C000081,個人,True,リターゲ
2024-01-03,S0000059,,,False,自然検索
2024-01-03,S0000058,C002199,個人,True,検索広告
2024-01-03,S0000057,C001426,法人,True,リターゲ
2024-01-03,S0000056,,,False,自然検索
2024-01-03,S0000055,C002485,法人,True,自然検索
2024-01-03,S0000063,C001731,個人,True,検索広告
2024-01-04,S0000088,,,False,ダイレクト
2024-01-04,S0000089,C000492,個人事業主,True,ダイレクト
2024-01-04,S0000090,C000060,個人,True,自然検索
2024-01-04,S0000091,,,False,検索広告
2024-01-04,S0000092,C000216,個人,True,検索広告
2024-01-04,S0000097,,,False,ディスプレイ広告
2024-01-04,S0000094,,,False,自然検索
2024-01-04,S0000095,,,False,DM
2024-01-04,S0000098,C001717,法人,True,検索広告
2024-01-04,S0000099,,,False,DM
2024-01-04,S0000087,C002242,個人事業主,True,自然検索
2024-01-04,S0000093,C001009,個人事業主,True,ディスプレイ広告
2024-01-04,S0000086,C001600,個人,True,自然検索
2024-01-04,S0000096,C001638,個人事業主,True,自然検索
2024-01-04,S0000084,C001117,個人,True,検索広告
2024-01-04,S0000072,C001048,個人,True,ディスプレイ広告
2024-01-04,S0000073,C002570,法人,True,ダイレクト
2024-01-04,S0000074,,,False,リターゲ
2024-01-04,S0000075,C001790,個人,True,検索広告
2024-01-04,S0000076,,,False,ダイレクト
2024-01-04,S0000077,C001526,個人,True,ダイレクト
2024-01-04,S0000085,C002711,個人,True,DM
2024-01-04,S0000079,,,False,自然検索
2024-01-04,S0000083,,,False,検索広告
2024-01-04,S0000082,,,False,検索広告
2024-01-04,S0000078,,,False,自然検索
2024-01-04,S0000080,C000419,個人,True,検索広告
2024-01-04,S0000081,C002577,個人,True,検索広告
2024-01-05,S0000132,,,False,自然検索
2024-01-05,S0000118,C002345,個人,True,ディスプレイ広告
2024-01-05,S0000119,C000500,法人,True,自然検索
2024-01-05,S0000120,,,False,自然検索
2024-01-05,S0000121,C001600,個人,True,ダイレクト
2024-01-05,S0000122,C001592,個人,True,自然検索
2024-01-05,S0000123,C001324,個人事業主,True,ディスプレイ広告
2024-01-05,S0000125,C002256,個人,True,ディスプレイ広告
2024-01-05,S0000126,C001325,法人,True,自然検索
2024-01-05,S0000117,,,False,ダイレクト
2024-01-05,S0000128,,,False,自然検索
2024-01-05,S0000129,C001889,個人,True,ダイレクト
2024-01-05,S0000130,C002963,個人,True,ダイレクト
2024-01-05,S0000131,C001114,個人,True,ディスプレイ広告
2024-01-05,S0000124,C002646,個人事業主,True,リターゲ
2024-01-05,S0000127,,,False,検索広告
2024-01-05,S0000116,,,False,自然検索
2024-01-05,S0000114,C002703,個人,True,リターゲ
2024-01-05,S0000100,,,False,ダイレクト
2024-01-05,S0000101,C002440,個人,True,自然検索
2024-01-05,S0000102,C000045,法人,True,ダイレクト
2024-01-05,S0000115,C002094,法人,True,ダイレクト
2024-01-05,S0000104,C002681,個人,True,自然検索
2024-01-05,S0000105,C002898,個人,True,自然検索
2024-01-05,S0000106,,,False,自然検索
2024-01-05,S0000103,C001726,法人,True,自然検索
2024-01-05,S0000108,,,False,ダイレクト
2024-01-05,S0000109,C001432,個人事業主,True,検索広告
2024-01-05,S0000110,,,False,ディスプレイ広告
2024-01-05,S0000111,,,False,自然検索
2024-01-05,S0000113,C001675,法人,True,ダイレクト
2024-01-05,S0000107,C002722,法人,True,ダイレクト
2024-01-05,S0000112,C000613,個人事業主,True,自然検索
2024-01-06,S0000141,,,False,自然検索
2024-01-06,S0000147,C000666,法人,True,リターゲ
2024-01-06,S0000146,,,False,ディスプレイ広告
2024-01-06,S0000145,,,False,検索広告
2024-01-06,S0000144,C002252,個人事業主,True,検索広告
