date,product_id,sku_id,warehouse_type,warehouse_name,stock_quantity,inbound,outbound
2024-01-01,P0001,SKU00001,マザー倉庫,関東マザー倉庫,19,1,2
2024-01-01,P0001,SKU00001,発送倉庫,東京発送センター,3,3,5
2024-01-01,P0001,SKU00002,マザー倉庫,関東マザー倉庫,16,2,4
2024-01-01,P0001,SKU00002,発送倉庫,東京発送センター,2,6,9
2024-01-01,P0001,SKU00003,マザー倉庫,関東マザー倉庫,19,1,2
2024-01-01,P0001,SKU00003,発送倉庫,東京発送センター,2,3,6
2024-01-01,P0001,SKU00004,マザー倉庫,関東マザー倉庫,9,2,5
2024-01-01,P0001,SKU00004,発送倉庫,東京発送センター,4,7,10
2024-01-01,P0001,SKU00005,マザー倉庫,関東マザー倉庫,13,1,4
2024-01-01,P0001,SKU00005,発送倉庫,東京発送センター,4,6,8
2024-01-01,P0001,SKU00006,マザー倉庫,関東マザー倉庫,6,0,1
2024-01-01,P0001,SKU00006,発送倉庫,東京発送センター,3,1,3
2024-01-01,P0001,SKU00007,マザー倉庫,関東マザー倉庫,15,3,5
2024-01-01,P0001,SKU00007,発送倉庫,東京発送センター,4,8,12
2024-01-01,P0001,SKU00008,マザー倉庫,関東マザー倉庫,9,0,1
2024-01-01,P0001,SKU00008,発送倉庫,東京発送センター,4,2,3
2024-01-01,P0002,SKU00009,マザー倉庫,関東マザー倉庫,8,1,4
2024-01-01,P0002,SKU00009,発送倉庫,東京発送センター,3,4,7
2024-01-01,P0002,SKU00010,マザー倉庫,関東マザー倉庫,12,2,9
2024-01-01,P0002,SKU00010,発送倉庫,東京発送センター,4,12,17
2024-01-01,P0002,SKU00011,マザー倉庫,関東マザー倉庫,6,1,2
2024-01-01,P0002,SKU00011,発送倉庫,東京発送センター,2,4,6
2024-01-01,P0002,SKU00012,マザー倉庫,関東マザー倉庫,13,1,3
2024-01-01,P0002,SKU00012,発送倉庫,東京発送センター,3,5,6
2024-01-01,P0002,SKU00013,マザー倉庫,関東マザー倉庫,14,0,3
2024-01-01,P0002,SKU00013,発送倉庫,東京発送センター,4,4,5
2024-01-01,P0002,SKU00014,マザー倉庫,関東マザー倉庫,12,0,0
2024-01-01,P0002,SKU00014,発送倉庫,東京発送センター,4,0,0
2024-01-01,P0002,SKU00015,マザー倉庫,関東マザー倉庫,6,1,1
2024-01-01,P0002,SKU00015,発送倉庫,東京発送センター,3,5,6
2024-01-01,P0002,SKU00016,マザー倉庫,関東マザー倉庫,5,1,4
2024-01-01,P0002,SKU00016,発送倉庫,東京発送センター,2,4,8
2024-01-01,P0002,SKU00017,マザー倉庫,関東マザー倉庫,18,2,8
2024-01-01,P0002,SKU00017,発送倉庫,東京発送センター,4,8,12
2024-01-01,P0002,SKU00018,マザー倉庫,関東マザー倉庫,18,0,1
2024-01-01,P0002,SKU00018,発送倉庫,東京発送センター,2,2,4
2024-01-01,P0002,SKU00019,マザー倉庫,関東マザー倉庫,12,3,8
2024-01-01,P0002,SKU00019,発送倉庫,東京発送センター,4,13,15
2024-01-01,P0002,SKU00020,マザー倉庫,関東マザー倉庫,12,2,3
2024-01-01,P0002,SKU00020,発送倉庫,東京発送センター,2,5,9
2024-01-01,P0002,SKU00021,マザー倉庫,関東マザー倉庫,18,0,0
2024-01-01,P0002,SKU00021,発送倉庫,東京発送センター,3,1,2
2024-01-01,P0002,SKU00022,マザー倉庫,関東マザー倉庫,15,0,0
2024-01-01,P0002,SKU00022,発送倉庫,東京発送センター,2,0,0
2024-01-01,P0002,SKU00023,マザー倉庫,関東マザー倉庫,16,1,1
2024-01-01,P0002,SKU00023,発送倉庫,東京発送センター,2,3,4
2024-01-01,P0002,SKU00024,マザー倉庫,関東マザー倉庫,6,1,3
2024-01-01,P0002,SKU00024,発送倉庫,東京発送センター,4,2,5
2024-01-01,P0003,SKU00025,マザー倉庫,関東マザー倉庫,19,0,2
2024-01-01,P0003,SKU00025,発送倉庫,東京発送センター,4,3,4
2024-01-01,P0003,SKU00026,マザー倉庫,関東マザー倉庫,6,1,3
2024-01-01,P0003,SKU00026,発送倉庫,東京発送センター,4,6,7
2024-01-01,P0003,SKU00027,マザー倉庫,関東マザー倉庫,18,0,2
2024-01-01,P0003,SKU00027,発送倉庫,東京発送センター,4,2,3
2024-01-01,P0003,SKU00028,マザー倉庫,関東マザー倉庫,8,0,4
2024-01-01,P0003,SKU00028,発送倉庫,東京発送センター,2,5,8
2024-01-01,P0003,SKU00029,マザー倉庫,関東マザー倉庫,9,0,1
2024-01-01,P0003,SKU00029,発送倉庫,東京発送センター,1,3,4
2024-01-01,P0003,SKU00030,マザー倉庫,関東マザー倉庫,10,1,5
2024-01-01,P0003,SKU00030,発送倉庫,東京発送センター,4,7,9
2024-01-01,P0003,SKU00031,マザー倉庫,関東マザー倉庫,5,1,3
2024-01-01,P0003,SKU00031,発送倉庫,東京発送センター,4,3,6
2024-01-01,P0003,SKU00032,マザー倉庫,関東マザー倉庫,14,1,4
2024-01-01,P0003,SKU00032,発送倉庫,東京発送センター,3,7,9
2024-01-01,P0003,SKU00033,マザー倉庫,関東マザー倉庫,8,0,3
2024-01-01,P0003,SKU00033,発送倉庫,東京発送センター,2,3,6
2024-01-01,P0003,SKU00034,マザー倉庫,関東マザー倉庫,17,1,4
2024-01-01,P0003,SKU00034,発送倉庫,東京発送センター,2,7,8
2024-01-01,P0003,SKU00035,マザー倉庫,関東マザー倉庫,10,0,1
2024-01-01,P0003,SKU00035,発送倉庫,東京発送センター,1,2,3
2024-01-01,P0003,SKU00036,マザー倉庫,関東マザー倉庫,17,0,3
2024-01-01,P0003,SKU00036,発送倉庫,東京発送センター,2,2,5
2024-01-01,P0004,SKU00037,マザー倉庫,関東マザー倉庫,17,0,2
2024-01-01,P0004,SKU00037,発送倉庫,東京発送センター,1,2,3
2024-01-01,P0004,SKU00038,マザー倉庫,関東マザー倉庫,19,0,0
2024-01-01,P0004,SKU00038,発送倉庫,東京発送センター,4,0,1
2024-01-01,P0004,SKU00039,マザー倉庫,関東マザー倉庫,12,0,2
2024-01-01,P0004,SKU00039,発送倉庫,東京発送センター,3,2,4
2024-01-01,P0004,SKU00040,マザー倉庫,関東マザー倉庫,11,0,2
2024-01-01,P0004,SKU00040,発送倉庫,東京発送センター,1,2,4
2024-01-01,P0004,SKU00041,マザー倉庫,関東マザー倉庫,15,0,4
2024-01-01,P0004,SKU00041,発送倉庫,東京発送センター,4,7,8
2024-01-01,P0004,SKU00042,マザー倉庫,関東マザー倉庫,10,0,2
2024-01-01,P0004,SKU00042,発送倉庫,東京発送センター,3,2,4
2024-01-01,P0004,SKU00043,マザー倉庫,関東マザー倉庫,6,1,4
2024-01-01,P0004,SKU00043,発送倉庫,東京発送センター,2,7,10
2024-01-01,P0004,SKU00044,マザー倉庫,関東マザー倉庫,6,1,2
2024-01-01,P0004,SKU00044,発送倉庫,東京発送センター,3,2,5
2024-01-01,P0004,SKU00045,マザー倉庫,関東マザー倉庫,5,1,2
2024-01-01,P0004,SKU00045,発送倉庫,東京発送センター,3,7,8
2024-01-01,P0004,SKU00046,マザー倉庫,関東マザー倉庫,5,1,2
2024-01-01,P0004,SKU00046,発送倉庫,東京発送センター,2,3,7
2024-01-01,P0004,SKU00047,マザー倉庫,関東マザー倉庫,14,1,1
2024-01-01,P0004,SKU00047,発送倉庫,東京発送センター,3,5,6
2024-01-01,P0004,SKU00048,マザー倉庫,関東マザー倉庫,18,1,2
2024-01-01,P0004,SKU00048,発送倉庫,東京発送センター,3,5,7
2024-01-01,P0004,SKU00049,マザー倉庫,関東マザー倉庫,19,2,4
2024-01-01,P0004,SKU00049,発送倉庫,東京発送センター,3,4,9
2024-01-01,P0004,SKU00050,マザー倉庫,関東マザー倉庫,18,1,2
2024-01-01,P0004,SKU00050,発送倉庫,東京発送センター,3,6,7
